Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
  3.2754362  -3.4131112  -1.2841792   2.3405492 ]
[ 3.3297026  -5.0179415  -0.02063097  0.96753204  1.818662   -1.7089452
  4.746067   -1.9199414  -0.43575203  1.496003  ]
[ 2.1948566  -2.2189956   1.3435016  -0.23151436  0.737792   -1.3389751
  4.4938564  -3.246996   -0.902682    1.3465052 ]
[ 1.8685282  -4.21434     0.5298804   1.7987216   1.6872394  -1.1827148
  2.7028844  -1.9861364   0.57544553  0.5306517 ]
[ 2.8381553  -3.2692542   1.203763   -0.19415751  0.82689    -1.2013601
  2.676484   -2.793438    0.1490882   1.3934499 ]
[ 2.6718235  -1.4051865   2.8620977   1.0426995  -0.35896996 -1.3043553
  2.8729098  -3.526416   -1.1154168   2.2708125 ]
